Human Timestamp,Unix Time,Microseconds,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Magnetometer X,Magnetometer Y,Magnetometer Z,IMU Temperature,Pressure,Pressure Temperature
Thu Nov 12 00:12:47 IST 2020,1605120167,900035,0.020713288,0.20053263,-9.804356,-0.22623121426370715,-0.25825254507605633,0.4269725040543852,1282.6184,-415.05545,530.2063,39.764706,98469.39,41.52
Thu Nov 12 00:12:47 IST 2020,1605120167,950010,0.040272776,0.17396979,-9.829497,-0.2039375337310286,-0.24991840516904984,0.41218191913419955,1282.2606,-414.44037,529.8991,39.766884,98471.375,41.52
Thu Nov 12 00:12:48 IST 2020,1605120168,191,0.02602129,0.22724377,-9.796492,-0.23127809795967266,-0.2669361629955951,0.4481995936299232,1283.2856,-414.8814,529.9811,39.7623,98469.69,41.52
Thu Nov 12 00:12:48 IST 2020,1605120168,50022,0.019844292,0.17502375,-9.819647,-0.16846210036441323,-0.22138422743745068,0.46143285747385054,1282.4436,-414.71747,529.88367,39.764175,98469.45,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,100024,0.04453228,0.18674462,-9.791954,-0.1723552512730774,-0.21572129862384543,0.394608449527683,1282.3389,-415.20157,529.9149,39.778526,98470.45,41.525
Thu Nov 12 00:12:48 IST 2020,1605120168,150053,0.037742607,0.18042427,-9.793813,-0.22097995612957672,-0.24257872183244952,0.4184666797534914,1282.3284,-414.7339,529.7448,39.763737,98469.92,41.525
Thu Nov 12 00:12:48 IST 2020,1605120168,200023,0.03126004,0.1758154,-9.8181505,-0.163958634107913,-0.26094012965071783,0.4397588458536214,1282.2664,-413.4864,530.3262,39.766827,98469.125,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,250290,0.0257747,0.17242646,-9.79905,-0.2595510209555188,-0.22602019936384915,0.40288887758596637,1281.6504,-414.20816,529.96204,39.764084,98470.97,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,300024,0.034646355,0.20312144,-9.805424,-0.15845696416333696,-0.24075267075784662,0.41377585761350816,1281.1389,-415.00064,530.05725,39.761646,98470.516,41.53
Thu Nov 12 00:12:48 IST 2020,1605120168,350009,0.0335045,0.18243028,-9.795681,-0.18466714157071776,-0.26619690885442737,0.43850448161254857,1281.8292,-414.3351,529.6784,39.76529,98471.41,41.53
